Date,Close/Last,Volume,Open,High,Low
09/15/2017,$117.69,169468,$117.12,$117.79,$117.12
09/14/2017,$117.1,222178,$116.51,$117.36,$116.4713
09/13/2017,$116.61,112028,$116.35,$116.6967,$116.25
09/12/2017,$116.54,179434,$116.37,$116.77,$116.32
09/11/2017,$116.23,185526,$115.94,$116.43,$115.81
09/08/2017,$114.97,220891,$115,$115.17,$114.69
09/07/2017,$114.28,264606,$114.52,$114.75,$113.97
09/06/2017,$113.73,182653,$113.96,$114.03,$113.47
09/05/2017,$113.62,228817,$113.36,$113.995,$113.19
09/01/2017,$113.03,288234,$112.74,$113.86,$112.63
08/31/2017,$112.98,291264,$112.26,$113.09,$112.22
08/30/2017,$112.29,173306,$112.1,$112.31,$111.5
08/29/2017,$112.08,116952,$111.53,$112.1,$111.48
08/28/2017,$112.27,71247,$112.48,$112.48,$112.05
08/25/2017,$112.84,154367,$112.55,$112.99,$112.43
08/24/2017,$112.22,153247,$112.23,$112.68,$112.1001
08/23/2017,$112.85,142903,$112.93,$113.08,$112.68
08/22/2017,$112.87,188609,$112.64,$113,$112.559
08/21/2017,$112.72,167773,$112.4,$112.89,$112.36
08/18/2017,$111.73,119750,$112,$112.17,$111.52
08/17/2017,$111.45,125970,$112.24,$112.24,$111.29
08/16/2017,$112.39,162455,$112.36,$112.6,$112.19
08/15/2017,$113.28,184484,$113.4,$113.65,$113.28
08/14/2017,$113.03,211052,$112.86,$113.38,$112.77
08/11/2017,$112.12,355285,$112.46,$112.67,$111.89
08/10/2017,$112.38,280835,$113.6,$113.78,$112.21
08/09/2017,$113.1,111954,$113.11,$113.29,$112.85
08/08/2017,$114.22,142989,$114.26,$114.49,$114.0314
08/07/2017,$114.13,141275,$113.98,$114.16,$113.92
08/04/2017,$113.64,150429,$113.76,$113.8,$112.99
08/03/2017,$112.73,252951,$112.75,$112.88,$112.2801
08/02/2017,$114.19,178401,$113.78,$114.19,$113.49
08/01/2017,$114.17,352612,$114.12,$114.38,$113.59
07/31/2017,$112.84,141506,$113,$113,$112.46
07/28/2017,$112.26,187264,$111.83,$112.26,$111.81
07/27/2017,$111.67,224649,$111.27,$111.98,$111.22
07/26/2017,$110.77,157163,$110.36,$110.89,$110.33
07/25/2017,$110.13,199014,$109.84,$110.545,$109.75
07/24/2017,$109.41,126955,$109.3,$109.45,$109.1
07/21/2017,$109.31,177029,$109.47,$109.5,$109.05
07/20/2017,$109.84,152018,$109.93,$110.06,$109.51
07/19/2017,$109.7,149223,$109.59,$109.85,$109.5622
07/18/2017,$110,184042,$110.2,$110.2,$109.66
07/17/2017,$110.33,234409,$110.01,$110.44,$110.01
07/14/2017,$110.2,293522,$110.05,$110.68,$110.05
07/13/2017,$109.84,199711,$109.5,$109.895,$109.45
07/12/2017,$109.87,312718,$109.62,$109.88,$109.26
07/11/2017,$108.21,482508,$108.1,$108.46,$107.57
07/10/2017,$108.22,120695,$108.21,$108.48,$108.14
07/07/2017,$108.47,244383,$108.15,$108.6099,$108.05
07/06/2017,$107.45,276675,$108.07,$108.1,$107.29
07/05/2017,$108.53,493178,$108.15,$108.78,$108.1
07/03/2017,$106.03,165739,$105.8,$106.34,$105.65
06/30/2017,$105.02,169418,$105.03,$105.29,$104.66
06/29/2017,$104.34,182730,$105.12,$105.12,$103.84
06/28/2017,$105.31,193633,$104.99,$105.35,$104.77
06/27/2017,$104.54,218943,$104.98,$105.03,$104.48
06/26/2017,$104.98,157431,$105.25,$105.55,$104.97
06/23/2017,$105.24,106361,$105.16,$105.28,$105.02
06/22/2017,$105.49,229336,$105.38,$105.64,$105.32
06/21/2017,$104.56,211323,$104.88,$104.88,$104.45
06/20/2017,$103.82,301230,$104.5,$104.55,$103.62
06/19/2017,$104.7,232843,$104.6,$104.71,$104.37
06/16/2017,$104.9,299249,$104.99,$104.99,$104.585
06/15/2017,$105.78,350653,$105.49,$106.045,$105.3
06/14/2017,$106.7,149330,$107.13,$107.17,$106.36
06/13/2017,$107.41,952803,$106.93,$107.41,$106.7
06/12/2017,$106.45,388586,$106.23,$106.66,$106.11
06/09/2017,$105.74,275271,$105.71,$106.27,$105.35
06/08/2017,$105.78,433390,$106.5,$106.65,$105.5101
06/07/2017,$107.53,127137,$107.88,$107.98,$107.4
06/06/2017,$107.8,205521,$107.54,$108.03,$107.53
06/05/2017,$107.76,181845,$107.93,$108.2292,$107.5
06/02/2017,$109.37,274772,$109.04,$109.62,$108.87
06/01/2017,$108.4,170476,$107.84,$108.42,$107.74
05/31/2017,$107.54,185531,$107.37,$107.71,$106.75
05/30/2017,$107.88,193843,$107.2,$108.11,$107.15
05/26/2017,$107.1,157129,$106.78,$107.1,$106.6
05/25/2017,$107.3,179819,$107.26,$107.54,$107.11
05/24/2017,$107.32,152412,$107.5,$107.65,$106.95
05/23/2017,$108.08,229787,$108,$108.43,$108
05/22/2017,$107.5,330670,$107.35,$107.96,$107.203
05/19/2017,$107.56,177821,$107.1,$107.8,$107.1
05/18/2017,$106.77,211386,$105.89,$107,$105.84
05/17/2017,$105.79,259002,$106.83,$107.35,$105.72
05/16/2017,$106.92,276815,$107.1,$107.36,$106.65
05/15/2017,$106.41,299964,$106.52,$106.56,$106.1
05/12/2017,$106.46,277035,$106.17,$106.63,$106.17
05/11/2017,$106.84,283544,$106.74,$106.92,$106.31
05/10/2017,$105.81,441499,$106.29,$106.35,$105.69
05/09/2017,$108.46,235162,$109.04,$109.13,$108.36
05/08/2017,$110.19,170715,$110,$110.35,$109.99
05/05/2017,$109.91,220021,$109.24,$109.94,$109.13
05/04/2017,$109.16,152439,$109.27,$109.27,$108.44
05/03/2017,$108.87,368597,$108.47,$109.04,$108.32
05/02/2017,$109.24,267958,$109.52,$109.68,$109.07
05/01/2017,$108.3,109130,$108.29,$108.42,$108.09
04/28/2017,$108.14,227026,$108.35,$108.59,$108.07
04/27/2017,$109.41,213768,$109.8,$109.9,$109.2
04/26/2017,$109.91,409953,$109.92,$110.3302,$109.8
04/25/2017,$108.72,310685,$108.61,$108.94,$108.55
04/24/2017,$106.99,257505,$107.19,$107.26,$106.7
04/21/2017,$106.58,226085,$106.85,$107.24,$106.46
04/20/2017,$106,234554,$105.66,$106.16,$105.6401
04/19/2017,$104.62,214012,$105,$105.11,$104.5
04/18/2017,$105.32,199787,$105.62,$105.66,$105.08
04/17/2017,$106.12,361938,$105.93,$106.21,$105.7
04/13/2017,$104.18,346156,$105.13,$105.15,$104.17
04/12/2017,$105.44,311479,$105.99,$105.99,$105.3965
04/11/2017,$106.4,419350,$106.77,$106.79,$106.06
04/10/2017,$105.98,379482,$106.11,$106.48,$105.815
04/07/2017,$105.91,233692,$105.76,$106.095,$105.62
04/06/2017,$105.5,392228,$105.68,$105.89,$105.34
04/05/2017,$106.14,533553,$107.03,$107.03,$106.0635
04/04/2017,$108.01,336431,$108.06,$108.35,$107.87
04/03/2017,$108.52,258548,$108.62,$108.8,$107.91
03/31/2017,$108.62,310008,$108.93,$108.93,$108.41
03/30/2017,$110.06,202811,$110,$110.3,$109.89
03/29/2017,$110.25,390120,$110.26,$110.34,$110.11
03/28/2017,$112.41,205363,$111.9,$112.59,$111.79
03/27/2017,$111.73,211665,$111.03,$111.96,$110.76
03/24/2017,$111.36,161695,$111.11,$111.62,$110.92
03/23/2017,$110.51,159838,$110.55,$111.085,$110.32
03/22/2017,$110.83,279319,$110.89,$111,$110.12
03/21/2017,$111.39,383125,$112.69,$112.86,$111.12
03/20/2017,$112,186605,$112.26,$112.6,$111.94
03/17/2017,$112.21,480458,$112.64,$112.74,$112.07
03/16/2017,$113.24,109377,$113.71,$113.955,$113.17
03/15/2017,$113.24,170517,$112.63,$113.5,$112.54
03/14/2017,$112.09,130639,$112.48,$112.6,$112.01
03/13/2017,$113.4,233720,$113.37,$113.82,$113.33
03/10/2017,$112.66,287381,$112.84,$112.98,$112.4
03/09/2017,$112.19,150498,$112.11,$112.41,$111.88
03/08/2017,$111.8,180391,$112.55,$112.59,$111.76
03/07/2017,$112.65,171603,$112.69,$113.05,$112.5
03/06/2017,$112.91,161997,$113.14,$113.14,$112.75
03/03/2017,$113.34,125838,$113.27,$113.54,$113.07
03/02/2017,$113.39,252735,$113.59,$113.8856,$113.16
03/01/2017,$114.74,240418,$114.82,$114.98,$114.51
02/28/2017,$113.15,196015,$113.6,$113.6481,$112.99
02/27/2017,$114.24,180607,$113.71,$114.27,$113.67
02/24/2017,$113.77,179977,$113.9,$114.03,$113.49
02/23/2017,$114.59,181617,$114.68,$114.89,$114.38
02/22/2017,$114.4,186951,$114.21,$114.45,$114.07
02/21/2017,$114.3,269482,$114.08,$114.59,$113.82
02/17/2017,$113.7,240304,$112.49,$113.7,$112.34
02/16/2017,$113.35,195963,$113.2,$113.61,$113.09
02/15/2017,$113.61,189113,$113.72,$113.72,$113.32
02/14/2017,$114.47,231934,$114.34,$114.49,$113.76
02/13/2017,$114.13,413623,$114.07,$114.5,$113.89
02/10/2017,$112.89,376909,$112.55,$113.145,$112.5
02/09/2017,$111.92,445405,$111.81,$111.99,$111.12
02/08/2017,$113.27,249166,$113.34,$113.41,$112.87
02/07/2017,$113.04,344364,$113.5,$113.52,$112.73
02/06/2017,$113.31,367925,$114.2,$114.48,$112.75
02/03/2017,$115.12,187540,$114.7,$115.46,$114.69
02/02/2017,$114.53,248818,$114.7,$114.76,$113.97
02/01/2017,$115.26,324203,$115.84,$116.15,$115.04
01/31/2017,$115.75,318977,$116.21,$116.37,$115.07
01/30/2017,$116.07,159201,$116.36,$116.58,$115.5533
01/27/2017,$116.69,196725,$117.09,$117.09,$116.5
01/26/2017,$118.98,182432,$119.43,$119.99,$118.96
01/25/2017,$119.06,233154,$118.62,$119.285,$118.52
01/24/2017,$117.64,302520,$116.91,$117.92,$116.69
01/23/2017,$118.29,138352,$118.45,$118.45,$117.75
01/20/2017,$118.92,122597,$119.12,$119.39,$118.66
01/19/2017,$119.31,106808,$119.56,$119.95,$118.895
01/18/2017,$118.79,138537,$118.71,$118.99,$118.5201
01/17/2017,$118.41,190554,$118.85,$118.96,$118.1735
01/13/2017,$119.81,113083,$119.82,$119.9,$119.52
01/12/2017,$119.64,218727,$119.64,$119.94,$118.36
01/11/2017,$119.91,189750,$119.09,$119.91,$119.09
01/10/2017,$119.76,214365,$119.09,$120.06,$118.79
01/09/2017,$119.74,135759,$119.48,$119.96,$119.4716
01/06/2017,$120.13,171558,$119.84,$120.23,$119.405
01/05/2017,$120.44,524098,$121.19,$121.39,$120.32
01/04/2017,$121.19,250601,$120.27,$121.29,$120.14
01/03/2017,$118.55,203979,$118.17,$118.6699,$117.83
12/30/2016,$117.2,153458,$117.77,$117.91,$116.82
12/29/2016,$117.04,181657,$117.29,$117.63,$116.78
12/28/2016,$118.42,105638,$118.96,$119.22,$118.3984
12/27/2016,$119.39,234518,$119.46,$119.96,$119.04
